POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
CH,BOVEYRE,459,1973,19739999,,3220.0,,,2.5,,1.99,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BOVEYRE,459,1975,19759999,3660.0,3220.0,2600.0,,2.5,,1.99,,,,,PSFG (1977): FoG 1970-1975 (Vol. III).,
CH,BOVEYRE,459,1977,19779999,,,2602.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BOVEYRE,459,1978,19789999,,,2602.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BOVEYRE,459,1979,19799999,,,2602.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BOVEYRE,459,1980,19809999,,,2602.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BOVEYRE,459,1981,19819999,,,2599.0,,,,,,tG,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BOVEYRE,459,1982,19829999,,,2599.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BOVEYRE,459,1983,19839999,,,2598.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BOVEYRE,459,1984,19849999,,,2598.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BOVEYRE,459,1985,19859999,,,2597.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BOVEYRE,459,1986,19869999,,,2596.0,,,,,,tG,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BOVEYRE,459,1987,19879999,,,2595.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BOVEYRE,459,1988,19889999,,,2595.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BOVEYRE,459,1989,19899999,,,2595.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BOVEYRE,459,1990,19909999,,,2595.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BOVEYRE,459,1991,19911011,,,2605.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BOVEYRE,459,1992,19921008,,,2612.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BOVEYRE,459,1994,19941020,,,2612.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BOVEYRE,459,1996,19960930,,,2612.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BOVEYRE,459,1998,19981002,,,2615.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BOVEYRE,459,1999,19991008,,,2616.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BOVEYRE,459,2001,20011105,,,2617.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BOVEYRE,459,2003,20031018,,,2618.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BOVEYRE,459,2005,20051121,,,2620.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BOVEYRE,459,2010,20109999,3617.0,3256.0,2691.0,,2.5899999,,1.626,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRAENDJI,5528,2011,20119999,3311.0,3169.0,3071.0,,0.52999997,,0.081,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRANDLAMM-LICKEN-NE,5031,2010,20109999,2852.0,2704.0,2609.0,,0.28,,0.072999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRANDLAMMHORN-E,5055,2010,20109999,2977.0,2787.0,2681.0,,0.33000001,,0.108,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN,2311,2011,20119999,3380.0,2706.0,2146.0,,3.6400001,,2.7119999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN-N,5267,2011,20119999,3724.0,3519.0,3379.0,,0.27000001,,0.046,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN-NE,5266,2011,20119999,3759.0,3565.0,3447.0,,0.31,,0.096000001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN-SE,5295,2011,20119999,3737.0,3569.0,3502.0,,0.28999999,,0.050999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN-SE (GROUP OF GLACIERETS),5258,2011,20119999,3601.0,3285.0,3210.0,,0.23999999,,0.044,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORN-SW,5246,2011,20119999,3754.0,3704.0,3631.0,,0.14,,0.026000001,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITHORNJOCH-SW,5248,2011,20119999,3433.0,3348.0,3217.0,,0.30000001,,0.072999999,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITLAUIJOCH-NW,5276,2011,20119999,3313.0,3292.0,3281.0,,0.16,,0.014,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BREITS LOIB,5733,2011,20119999,2269.0,2181.0,2130.0,,0.25999999,,0.013,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRENEY,368,1964,19649999,3827.0,,,,,,,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRENEY,368,1973,19739999,,3240.0,,,6.3000002,,9.8000002,,,,,PSFG (1977): FoG 1970-1975 (Vol. III).,
CH,BRENEY,368,1975,19759999,3830.0,3240.0,2560.0,,6.3000002,,9.8000002,,,,,PSFG (1977): FoG 1970-1975 (Vol. III).,
CH,BRENEY,368,1982,19829999,,,2575.0,,,,,,tG,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BRENEY,368,1991,19910918,,,2575.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRENEY,368,1992,19920930,,,2575.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRENEY,368,1993,19930919,,,2575.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRENEY,368,1996,19961007,,,2575.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRENEY,368,1997,19970922,,,2575.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRENEY,368,1998,19980920,,,2575.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRENEY,368,1999,19991010,,,2575.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRENEY,368,2001,20011005,,,2575.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRENEY,368,2002,20020914,,,2575.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRENEY,368,2003,20030915,,,2575.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRENEY,368,2004,20040929,,,2575.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRENEY,368,2005,20050924,,,2575.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
CH,BRENEY,368,2010,20109999,3814.0,3348.0,2576.0,,6.25,,7.1090002,,aC,Fischer et al.,"Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland","Fischer et al. (2014); Arctic, Antarctic and Alpine Research, 46(4), pp.933-945",Survey method: photogrammetry & LiDAR.
CH,BRESCIANA,465,1970,19709999,3402.0,,,,1.6,,,,,,,PSFG (1977): FoG 1970-1975 (Vol. III).,
CH,BRESCIANA,465,1973,19739999,,3080.0,,,,,0.94,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1975,19759999,3400.0,3080.0,2570.0,,1.6,,0.94,,,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1978,19789999,,,2710.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRESCIANA,465,1979,19799999,,,2710.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRESCIANA,465,1980,19809999,,,2710.0,,,,,,,,,PSFG (1985): FoG 1975-1980 (Vol. IV).,
CH,BRESCIANA,465,1981,19819999,,,2710.0,,,,,,tG,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BRESCIANA,465,1982,19829999,,,2715.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BRESCIANA,465,1983,19839999,,,2725.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BRESCIANA,465,1985,19859999,,,2720.0,,,,,,,,,WGMS (1988): FoG 1980-1985 (Vol. V).,
CH,BRESCIANA,465,1986,19869999,,,2720.0,,,,,,tG,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BRESCIANA,465,1988,19889999,,,2720.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BRESCIANA,465,1989,19899999,,,2720.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BRESCIANA,465,1990,19909999,,,2720.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
CH,BRESCIANA,465,1991,19910924,,,2730.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1992,19921026,,,2730.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1993,19930920,,,2735.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1994,19941006,,,2740.0,,,,,,tG,,,WGMS (1998): FoG 1990-1995 (Vol. VII).,
CH,BRESCIANA,465,1996,19960926,,,2750.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRESCIANA,465,1997,19970926,,,2760.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRESCIANA,465,1998,19980901,,,2770.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRESCIANA,465,1999,19990923,,,2770.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRESCIANA,465,2000,20000901,,,2810.0,,,,,,,,,WGMS (2005): FoG 1995-2000 (Vol. VIII).,
CH,BRESCIANA,465,2001,20011025,,,2810.0,,,,,,tG,Andreas Bauder,VAW/scnat,WGMS (2008): FoG 2000-2005 (Vol. IX).,
